,hotelname,score,title,review
360,Grand Copthorne Waterfront,8.0,“ Comfortable and convienient ”,"NA Love the location, close to restaurants, bars and the office Stayed in February 2020"
361,Grand Copthorne Waterfront,8.0,Very Good,Hope grand copthorne will consider halal food foe muslim customers. As i have to order grab food for our dinner The ambiance Stayed in February 2020
362,Grand Copthorne Waterfront,6.7,Pleasant,"The hotel rooms need renovation  considering lam staying in club room ,restaurant and food not 5 star hotel. View from the higher level club room . Stayed in February 2020"
363,Grand Copthorne Waterfront,8.0,“ Beautiful river view ”,"No real facilities at the pool (possibly seasonal) and broken jacuzzi We book lounge access room which had a few perks to it as breakfast and afternoon tea on the 29th floor with beautiful view as well as complimentary cocktails and snacks.We were greeted by a lovely receptionist and as we were after long flight she gave us a 5star service from the moment we arrived.Room was spacious, breakfast with good options and location just perfect - 30min walk to Gardens by the Bay/ Little India and Arab Street.Hotel could do with a little touch of TLC but overall a great value and would recommend and stay there again!We loved seating outside having a coffee and watching family of otters playing in the river ♡ Stayed in January 2020"
364,Grand Copthorne Waterfront,7.0,“ Nothing much to say ”,Breakfast Just so so Stayed in February 2020
365,Grand Copthorne Waterfront,8.0,"“ Super hotel, good staff but a little out of the way for the main attractions. ”",A quality hotel with a nice pool Stayed in January 2020
366,Grand Copthorne Waterfront,6.0,"“ Mixed  reviews. Room very good, bar and resturant not the best its been ”","Not very good service , nor food options Breakfast not to much Stayed in February 2020"
367,Grand Copthorne Waterfront,6.5,Pleasant,"Most staff very good, but not enough check in staff and queues of waiting customers were frequent. Room had a horrible sewerage smell outside in passage and toilet seat not fixed to pan moved when using. Good breakfast with lots of choices Stayed in February 2020"
368,Grand Copthorne Waterfront,7.5,Good,Pool area and jacuzzi was poor Sitting at the river in the evening Stayed in February 2020
369,Grand Copthorne Waterfront,8.0,Very Good,"The room is outdated in design and equipment. Great choices for breakfast, good location, friendly staff. Stayed in February 2020"
370,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in September 2022
371,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in September 2022
372,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in September 2022
373,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in January 2020
374,Mercure Singapore On Stevens,7.1,Good,There are no comments available for this review Stayed in February 2020
375,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in February 2020
376,Mercure Singapore On Stevens,7.0,Good,There are no comments available for this review Stayed in December 2019
377,Mercure Singapore On Stevens,7.9,Good,There are no comments available for this review Stayed in January 2020
378,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in January 2020
379,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in December 2019
380,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in December 2019
381,Mercure Singapore On Stevens,8.3,Very Good,There are no comments available for this review Stayed in January 2020
382,Mercure Singapore On Stevens,8.8,“ Affordable and close to everything ”,There are no comments available for this review Stayed in January 2020
383,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in January 2020
384,Mercure Singapore On Stevens,7.0,Good,There are no comments available for this review Stayed in December 2019
385,Mercure Singapore On Stevens,8.3,Very Good,There are no comments available for this review Stayed in December 2019
386,Mercure Singapore On Stevens,6.0,Pleasant,There are no comments available for this review Stayed in December 2019
387,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in November 2019
388,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in November 2019
389,Mercure Singapore On Stevens,8.0,“ I had a very good stay.. ”,There are no comments available for this review Stayed in November 2019
390,Mercure Singapore On Stevens,7.1,Good,There are no comments available for this review Stayed in October 2019
391,Mercure Singapore On Stevens,8.8,Excellent,There are no comments available for this review Stayed in November 2019
392,Mercure Singapore On Stevens,7.0,Good,There are no comments available for this review Stayed in October 2019
393,Mercure Singapore On Stevens,8.3,Very Good,There are no comments available for this review Stayed in October 2019
394,Mercure Singapore On Stevens,7.9,Good,There are no comments available for this review Stayed in September 2019
395,Hotel Boss,8.0,Very Good,Room size too small. Not much space to move. No bidet in toilet. Location Stayed in August 2022
396,Hotel Boss,8.0,“ Great location ”,"Very small room size.
No bidet in toilet. Location Stayed in August 2022"
397,Hotel Boss,8.0,“ Will return on next visit to Singapore ”,Room a little small Close to mrt & very central Stayed in August 2022
398,Hotel Boss,6.0,“ Sufficient but no Wi-Fi ”,"Room was very small, and the Wi-Fi was terrible it basically didn’t work Room was clean, staff nice especially concierge who were super nice. Location good Stayed in August 2022"
399,Hotel Boss,8.0,“ Awesome ”,"Rooms a bit crampy...wish more spacious Location is awesome, can walk to nearby places like Bugis Street, Mustafa and Little India... Stayed in July 2022"
400,Hotel Boss,8.0,“ Tiny rooms ”,The room was tiny. The pool. Stayed in July 2022
401,Hotel Boss,8.0,Very Good,Lobby.. to crowded The room Stayed in July 2022
402,Hotel Boss,7.0,Good,The door is not so soundproof and you could hear quite a bit from the hallway. We had the unfortunate luck of staying when the big family in the next rooms decided to use the hallway as a living/hang out room and we could hear everything. Great room for value. Right near the mrt station and near to downtown and other nice areas to go around. The staff were nice and very kind. If you are fine with a small room it's a good deal. Stayed in July 2022
403,Hotel Boss,8.0,Very Good,Good location and our room has a very nice view of the city Stayed in July 2022
404,Hotel Boss,7.0,“ $208 expensive. ”,I didn't like the room window which was not facing an open area where you can see the scenery. Room not sound proof. Very noisy when someone talking at the corridor. I like the ground floor very spacious. Stayed in July 2022
405,Hotel Boss,6.0,“ great location. room was small ”,shower wasnt working great. room was clean Stayed in July 2022
406,Hotel Boss,8.0,“ Small but great stay ”,Room was very very small Had the city view which was nice. Housekeeping did a good job of restocking water and keeping everything clean. Location was awesome Stayed in July 2022
407,Hotel Boss,7.0,Good,Rooms really small Location Stayed in July 2022
408,Hotel Boss,8.0,Very Good,"The Internet was unstable, but we did manage. We could here some noise from the room next to us in the evening. Nice location, close to Little India and Arabic Street. Close to the bus stops. The room was small, but confortable and clean. Stayed in July 2022"
409,Hotel Boss,8.0,Very Good,"size of room very small, no cupboard/drawers. room very clean. easy check in /check out , good location Stayed in July 2022"
410,Hotel Boss,6.0,Pleasant,"I don’t like the toilet , is too small The room is very small Stayed in July 2022"
411,Hotel Boss,7.0,Good,"the room good for 4 people was too tight/small, no room for clothes so we had to take the luggages outside to the balcony the location was good, 5 min near the train station Stayed in July 2022"
412,Hotel Boss,8.0,Very Good,"Minor maintenance issues like kettle and toilet leaking. Reported to management and was fixed promptly. Excellent location, near MRT and access to local bus services. Plenty of eating places within walking distance. It is near Golden Mile Complex if you need to take a coach to Kuala Lumpur, Malaysia. Staff very friendly and helpful. Would stay here again if in Singapore. Stayed in July 2022"
413,Hotel Boss,8.0,Very Good,Size of room and WiFi poor. Everything except WiFi connectivity and TV /YouTube entertainment.  WiFi in pool area and room is very weak. Stayed in July 2022
414,Hotel Boss,6.0,“ Still nice! It's just the outside noice that can be heard inside and the very loud AC in our room ”,"The hotel color  makes it look smaller. The hallway is dark because of the color. The room is not sound proof so the conversation in the hallway can be heard inside the room. It disturbs the guests.Also, the water flow next door can be heard in our room The location Stayed in July 2022"
415,Hotel Boss,6.0,"“ This hotel is worth staying for short stay, up to 3 days. The location is great. ”","Very small room, even for 2 people. Felt a little claustrophobic. Even though room service/cleaning was every 2 days as going green. There was still the option to call reception & request water or extra towels, pillows. They did not have hand towels or face washers which found very odd. Did call for towels & asked for face washers with the bath towels but was told they only have bath towels & floor towel. Towels could be softer. Breakfast was very basic, paid extra was not value for money as limited choices. Standard should be improved.The best thing about this hotel was the location, very close to public transport and can walk to many places of interests - weather permitting Stayed in July 2022"
416,Hotel Boss,8.0,Very Good,"Wifi is very very poor in room No TV channel and youtube working.  They try to fix wifi in my total stay of 9 days but not a single day we could could see TV with local channels and youtube. Location of Hotel, friendly staff esply bell boy and FB staff. Stayed in July 2022"
417,Hotel Boss,6.0,Pleasant,"The room was very small for 3 people, and no space to take the clothes away from the luggage, and all the luggage was stabbed. We asked for upgrade (and pay the difference) but the staff was not very helpful and asked us to come and check availability every day at 12 o’clock and then tell us that they had no room, as they did not really had an overview. The location Stayed in June 2022"
418,Hotel Boss,6.0,“ clean room and value for money ”,"hard bed, very small room, minimal breakfast in city center, clean, value for money Stayed in July 2022"
419,Hotel Boss,6.0,Pleasant,"Rooms were small
Beds are hard
Rooms could have been cleaner Location was great
Pool was nice Stayed in July 2022"
420,Royal Plaza on Scotts,6.0,“ Comfortable bed and convenient location ”,Facilities closed due to covid restrictions but no discount on price. big signs outside the hotel offering locals a stay at a fraction of the price we were charged. Central and easy to get around to places in Singapore. Stayed in May 2022
421,Royal Plaza on Scotts,4.0,“ Stay at Royal Plaza ”,"No porter for the luggage, rooms not cleaned everyday, restaurant not much choice. We ordered a Caesar salad and a club Sandwich from the room service. Caesar salad had too much sauce. We ordered another one.  Club Sandwich, no fries but potato chips instead. Not very good either. Q deWe were told that rooms were not cleaned due to COVID. Total nonsense when you see how crowded the restaurant was. I think it was a question of reducing cost Not much to say Stayed in June 2022"
422,Royal Plaza on Scotts,1.0,“ never staying again ”,"worst service I have seen in a 5 star zero service
no one will pick up phone 
they clean rooms alternate day Stayed in May 2022"
423,Royal Plaza on Scotts,10,Exceptional,There is Qibla direction and bidet in the toilet. Their halal foods were nice Stayed in March 2022
424,Royal Plaza on Scotts,2.0,“ Great location. Mediocre service ”,The hotel offered limited room service due to staff shortage. Avoid buying rooms through a third party on Booking.com. Booking.com and the hotel will not be able to help you. Booked the rooms under the wrong guest name through third party on Booking.com due to preset credit card details but the hotel staff made it difficult before sending email to the third party to help out. Stayed in May 2022
425,Royal Plaza on Scotts,5.0,“ Breakfast was awful.  Room not cleaned daily ”,"The food at breakfast was horrible. They didn't even bother to change the menu and the taste of the food was not nice at all that my children refused to go down to eat and we had to take them to other cafes nearby throughout out stay in Singapore. Not value for money if you are taking a room with breakfast. Staff were generally not friendly. When we called to ask for house keeping service etc, they sounded so rude on the phone. The room was not cleaned on daily basis which pissed me off and I was not informed prior to my booking. This is unfair. No one informed during the check in either. When I called to ask for housekeeping service, they told me off over the phone that this is their practice that rooms are only cleaned every alternate day due to their covid policy to minimise contact. This is surely a mere excuse by the hotel as at the time of visiting, their staff and visitors mostly are fully vaccinated and they can also impose a rule whereby housekeeping only will be done not in the presence of the hotel guests in their rooms but this was not the case. Will not consider this hotel again. Location was perfect. Room was great with two double beds which were very comfortable. Stayed in May 2022"
426,Royal Plaza on Scotts,5.0,"“ With the increase in hotel rate, would expect better services and room amenities. ”","Would expect someone to help to hail taxi to airport. Before Covid, there is always someone to help to get a taxi. But not now. Stayed in May 2022"
427,Royal Plaza on Scotts,10,“ great location. ”,cannot get your own food at the breakfast buffet due to covid. great location right opposite ION shopping mall. beautiful decor in the lobby. nice breakfast buffet. Stayed in April 2022
428,Royal Plaza on Scotts,2.0,Very Poor,"Partial refund for the lack of services and pool closure. No service but charge is the same. No concierge no turn down service. Had to drag my own bags to the room. Drag them down to check out. No greeting. No room clean. Blame on covid but fully booked restaurant for breakfast with awful low quality food. Asked for bacon and given luncheon meat. Upgraded to premier room and paid extra for nothing. Pool was also closed. We booked the hotel because it had a pool.
It wasn't like this 8 years ago. Stayed in May 2022"
429,Royal Plaza on Scotts,5.0,“ No lounge service ”,"I booked Executive Suites and lounge access was eligible as per the condition. However premier lounge is converted to co-working space, where there are only chairs. There is no magazine, soft drink, evening cocktail, staff etc. at all which comes as normal  lounge service. I asked if I can have soft drink at restaurant at least even there is no regular lounge but hotel staff refused it. When the hotel doesn't provide lounge service, it should not list in room condition as if it is available. I was really disappointed. Stayed in April 2022"
430,Royal Plaza on Scotts,10,“ Fantastic stay for burthday celebration ”,"Room too near to near to main road, able to hear traffic zooming by when trying to rest. Toilet shower head holder was spoilt and room is too cold even when the room air con is switch off during the night when sleeping. Clean room, great services by the staffs there. Had the pleasure of being attended by Mr Dragon who was polite and professional in serving us. Staffs at Carousel also deserves to be mentioned by giving us a great service during our dinner there on 30th April. They were very busy given that buffets are opened up again on that day but they make every effort to attend to my requests. Food is fantastic there as well. Compliments to the chefs Stayed in May 2022"
431,Royal Plaza on Scotts,1.0,Very Poor,"Service is bad 
They never pick up phone - reception or housekeeping or room service 
Staff is super rude and racist. 
They don't clean rooms daily. Alternate day. Even if you book a suite. There is nothing to like in this hotel. Stayed in April 2022"
432,Royal Plaza on Scotts,1.0,Very Poor,"Zero service 
No one picks up the phone 
They don't clean rooms 
No room service also 
Don't go by the price. It is worst than 3 star. Nothing other than location Stayed in April 2022"
433,Royal Plaza on Scotts,4.0,Disappointing,"Not clean
Poor services Location Stayed in April 2022"
434,Royal Plaza on Scotts,5.0,“ Not worth for 5 star ”,"2 days no cleaning services
Lack a lot of room stuff( vanity, shaver, water, toothpaste...)
View not good
Breakfast is poor and same for everday Location is good Stayed in April 2022"
435,Royal Plaza on Scotts,5.0,,This review is hidden because it doesn't meet our guidelines.
436,Royal Plaza on Scotts,6.0,“ Fair stay. ”,Pool was under construction and no alternatives to hotel facilities. TV was unable to hook up to phone either by screen casting or HDMI. The breakfast was fair enough. Stayed in April 2022
437,Royal Plaza on Scotts,3.0,“ Not good ”,"Room bulbs blown , no in-house food menu as compared before covid 19 No good unlike before covid 19! Stayed in April 2022"
438,Royal Plaza on Scotts,5.0,“ Lame and boring ”,"The breakfast, tv channels are basic and the local channel is lagging - tone and pictures not syncronize, no halal microwave Very fast n smooth check-in, staffs are excellent, sofa bed , free flow complimentary carpark coupons Stayed in April 2022"
439,Royal Plaza on Scotts,6.0,Pleasant,Staff too busy ..i was ask to call taxi to airport ..he cant help Locatiojn Stayed in April 2022
440,Royal Plaza on Scotts,4.0,Disappointing,housekeeping service is not everyday. Reception should have let us know prior to booking.  Breakfast limited in option Bed was good. Layout of the room is good Stayed in April 2022
441,Royal Plaza on Scotts,6.0,Pleasant,the rooms are creaky and old Location Stayed in April 2022
442,Royal Plaza on Scotts,1.0,“ won’t stay there again ”,"not worth the money, and service is meh not bad location but so so old… and everything is under renovation. Stayed in April 2022"
443,Royal Plaza on Scotts,10,“ Worth the stay in the Executive Suite. ”,"Not enough USB ports.Water did not discharge fast enough when taking a shower.Able to smell someone’s cooking around noon time, had to ask for a air freshener. Staff at Royal Plaza on Scotts were friendly and helpful. This applies to front desk, restaurant and housekeeping.Location is very central, able to all to a lot of shopping malls. Subway is just around the corner.We had an Executive Suite and it was very nice. Stayed in March 2022"
444,Royal Plaza on Scotts,10,Exceptional,Nil Love the good service Stayed in March 2022
445,Grand Copthorne Waterfront,7.9,Good,Took ages for drinks to arrive at the pool. One occasion had to go down 6 floors to get a drink as they never shown up. Waterfront location as on the river. Few bars and restaurants within walking distance. Stayed in October 2019
446,Grand Copthorne Waterfront,8.3,,This review is hidden because it doesn't meet our guidelines.
447,Grand Copthorne Waterfront,6.0,“ It was a pleasant stay overall. ”,"The breakfast spread was a little disappointing as I would have expected more choices. The Check In was slow. We had the deluxe room. There was a little smell and the room can do with some upgrading. The prompt response of the property and it's location. Near to town city and the accessibility from Robertson Quay to Boat Quay. Stayed in October 2019"
448,Grand Copthorne Waterfront,6.3,“ 2 days Singapore ”,"This is definitely NOT a 5 star Hotel, We had for 2 nights 3 rooms, 
1st Room smelling like a smokers room,
2nd room, although it supposed to be a 2person room, only 1 bed side table, light-switches on 1 side only, bed unstable, if you move your partner will wake up due to the “swinging”
3rd room, noisy as it was behind the elevators. 
All rooms the carpet was not really good cleaned. 
 
Bathroom nice, but.... neither in the bathtub nor shower a separate shower, so only from above or fill the tub. 
As said, for 3 or maybe 4 star a very good hotel, but definitely NOT a 5 star. 
We regret we booked it. The staff is very friendly and helpful. Stayed in October 2019"
449,Grand Copthorne Waterfront,6.3,Pleasant,Noisy AC in room. Not many dining facilities. TV channels poor choice and poor quality TV signal. Relatively low cost Stayed in October 2019
450,Grand Copthorne Waterfront,7.1,Good,"Location is next to Robertson quay, but MRT and shops are not very close. Breakfast was below expectations. Service was slow. View from the room was good. There's an Avis below the hotel, which makes it convenient to rent a car. It's situated centrally. Stayed in October 2019"
451,Grand Copthorne Waterfront,7.9,“ Could be better ”,"The service. A few examples, they got my name wrong at check in, we waited almost 2 hours for a Greek salad from room dine in service, took them a long time to send some bottled drinking water, just name a few. Also, no idea why but the room kept feeling quite warm even after adjusting the temperature to the lowest at 20 deg Celsius. The location is nice with a lot of nice bars and restaurants around it, very near to city centre as well. The room is quite sizable for Singapore and its clean. Stayed in October 2019"
452,Grand Copthorne Waterfront,7.5,“ Reasonable good ”,Should give me upgrade bigger room with table so that I can do my work. May be future give me above 21st storey instead of 17 storey. Breakfast is good but only Siew mai was serve on 28 Oct 2019. Stayed in October 2019
453,Grand Copthorne Waterfront,7.5,“ Average stay ”,"Room was very big just a pity the double bed isn’t extra big.  Should put sofa (2 seater) instead of 2 single seats cos more comfortable.  Swimming pool is boring. Bathroom was luxuriously big, though abit too plain.. can put some deco or greenery.  Gym was great.  Love the complimentary parking. Stayed in October 2019"
454,Grand Copthorne Waterfront,7.1,“ Very comfortable and clean room ”,"The location is not really good. The room is comfortable and clean, the view itself also very nice. Will visit again Stayed in October 2019"
455,Grand Copthorne Waterfront,8.0,Very Good,The position right on the river was great and right next to loads of bars and restaurants. Stayed in October 2019
456,Grand Copthorne Waterfront,7.0,“ Comfortable stay ”,"The staff worked incredibly hard at breakfast, but seemed very understaffed. This meant it was not really five star service. Tables were not laid and mugs ran out, for coffee, so disposable cups were used and plastic spoons for yoghurt. In a three star hotel in Bali, there were 4 times the staff for the same size area. Spacious, comfortable, clean rooms. Good buffet breakfast. Stayed in October 2019"
457,Grand Copthorne Waterfront,8.3,Very Good,The room was small and dated. For families it would be nice to have an option for a bath. Liked the breakfast. The pool area was nice. The location was great. Stayed in October 2019
458,Grand Copthorne Waterfront,9.0,Awesome,Thé personal and breakfast. Expensive Nice view Stayed in October 2022
459,Grand Copthorne Waterfront,5.0,Fair,"There was a heavy moisture/humidity smell in the room. When I did ask for change of the room, I was told that rest of the rooms are the same and hotel hasn't been renovated for a while. Only solution I was offered, spraying odour remover in the room; i.e. temporary solution, which lasted a few hours. Long story short, it was an unpleasant 6-day-stay. Stayed in October 2022"
460,Grand Copthorne Waterfront,1.0,Very Poor,not as per rate Stayed in October 2022
461,Grand Copthorne Waterfront,4.0,“ very very average hotel and not at all worth the money we paid for it! ”,"it was not clean enough…
staff was not friendly nothing much Stayed in October 2022"
462,Grand Copthorne Waterfront,10,“ It was simply great overall ”,"This is not a criticism of the hotel but they did not have the booking on their system. However, showing them the details they agreed to honour our reservation. This is something Booking.Com needs to address. Got upgraded to a corner larger room. Breakfast was excellent and service was great. Easy to get around Singapore from the hotel and there was a nice river walk next to the hotel. Stayed in September 2022"
463,Grand Copthorne Waterfront,1.0,Very Poor,"This is really my bad dream hotel after coming back travelling.What I requested, they provided me opposite. For example, I requested high floor, they gave me the lowest floor for guest.I requested river view,they gave me swimming pool view. The reception and the electric man gosszip in Malay word about me. I asked 4 times room adapter by operator, they didn't care  . I had to go to the concierg countrer to take by myself and the guy with bold head talked with me very impolite. This hotel is not good for Asean guest. nothings Stayed in September 2022"
464,Grand Copthorne Waterfront,1.0,“ Insect infestation ”,"I have a video of the remaining insects i could flush down the shower. Initially 25+ insects in the shower, I called reception and they said they would send an engineer to help but no one came. 
I complained the next morning but they were not concerned at all.
Seems like they have too many customers to rely on repeat visitors.
My room price also doubled when I asked to stay an extra night. 
Hotel is old and photos on booking.com are not accurate. Breakfast Stayed in September 2022"
465,Grand Copthorne Waterfront,4.0,“ Well it was ok but I would not stay there again. ”,"The rooms have a very tired look and feel to them. the tree nights I stayed there I had no hot water coming and when I asked them to check into it they came back telling me that because my room was at the extreme end of the corridor the hot water cannot travel to my room. Although i was  frustrated and irritated with the whole situation, I found the reasoning hilarious 🤣🤦‍♂️ the location is phenomenal. you step onto the promenade and you have a wide selection of bars and restaurants to choose from. Stayed in September 2022"
466,Grand Copthorne Waterfront,9.0,Awesome,There is nothing we didn't like. Hotel was pretty good and situated at good location. Breakfast was very good. Lots of option for vegetarian. Stayed in September 2022
467,Grand Copthorne Waterfront,5.0,Fair,"The hotel is totally over-rated! It's claimed to be 5 star, but I will give a 4 star the most. Very old hotel, the room I booked is quite shabby and run down. Really need a renovation! Location is ok, but unfortunately the closest MRT is not in operation 😕 The breakfast has a good variety of food. Combination of western and eastern eateries! Stayed in September 2022"
468,Grand Copthorne Waterfront,4.0,“ Pretending to be a 5 star hotel; really only 3 star. ”,Check in process was horrible. Not enough staff and chaotic. Our pre-notified early arrival time was not given due consideration. Room was very nice. Bath had a problem but not significant for us. Stayed in September 2022
469,Grand Copthorne Waterfront,10,“ Great business hotel. ”,Excellent central location with very helpful staff and great view of the Singapore river. Stayed in September 2022
470,Mercure Singapore On Stevens,7.0,Good,There are no comments available for this review Stayed in October 2022
471,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in February 2020
472,Mercure Singapore On Stevens,6.3,Pleasant,There are no comments available for this review Stayed in January 2020
473,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in January 2020
474,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in November 2019
475,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in December 2019
476,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in November 2019
477,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in December 2019
478,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in October 2019
479,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in November 2019
480,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in November 2019
481,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in October 2019
482,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in October 2019
483,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in October 2019
484,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in October 2019
485,Mercure Singapore On Stevens,8.0,Very Good,There are no comments available for this review Stayed in October 2019
486,Mercure Singapore On Stevens,7.5,Good,There are no comments available for this review Stayed in October 2019
487,Mercure Singapore On Stevens,7.1,Good,There are no comments available for this review Stayed in October 2019
488,Mercure Singapore On Stevens,5.4,Fair,There are no comments available for this review Stayed in January 2020
489,Mercure Singapore On Stevens,9.2,Awesome,There are no comments available for this review Stayed in December 2019
490,Mercure Singapore On Stevens,10,Exceptional,There are no comments available for this review Stayed in December 2019
491,Mercure Singapore On Stevens,9.0,Awesome,There are no comments available for this review Stayed in December 2019
492,Mercure Singapore On Stevens,3.3,Poor,There are no comments available for this review Stayed in November 2019
493,Mercure Singapore On Stevens,4.0,Disappointing,There are no comments available for this review Stayed in November 2019
494,Mercure Singapore On Stevens,10,Exceptional,There are no comments available for this review Stayed in October 2019
495,Hotel Boss,6.0,Pleasant,"I booked with one price and when arrived I got told more expensive price, room was very small and view was awful can definitely get a better room for price elsewhere Good location to train station so easy to get too and from airport Stayed in July 2022"
496,Hotel Boss,7.0,Good,"Very crowded at breakfast area
No cleaning at second day Fast Check-in and out
Good view from the top floors Stayed in July 2022"
497,Hotel Boss,8.0,"“ Overall, a great hotel in a great location! ”",The shower pressure could have been better as it had no pressure until the shower was directly on the wall and from there you couldn’t wash yourself properly without taking the shower head off the wall I liked the location of the hotel. Nice and close to the MRT and within walking distance of shopping centres etc. staff were friendly and always helpful. Hotel was always clean Stayed in July 2022
498,Hotel Boss,6.0,“ not a great hotel but it’s okay for a short stay ”,"Pretty small room event though I booked a 27m room with balcony. almost half of it is the balcony which is a bit useless. hard bed - uncomfortable to sleep. the location close to
MRT station, the halal food (but less choice - no egg station), grande lobby Stayed in July 2022"
499,Hotel Boss,6.0,Pleasant,Rooms are cramped Location Stayed in July 2022
500,Hotel Boss,8.0,“ Clean and well located hotel ”,"Room has a window but faced the opposite block directly so if you like privacy, you’ll probably leave your blinds down most of the time. Good location, easy access to public transportation, convenience stores and restaurants close by, nice pool and decent gym, on site laundromat, numerous electrical outlets n 2 USB charging points. Stayed in July 2022"
501,Hotel Boss,7.0,Good,no wine glass and bucket of ice when requested Stayed in July 2022
502,Hotel Boss,7.0,Good,"Rooms were very small, even the family room is small, 
cleaning only per two days Location was superb Stayed in July 2022"
503,Hotel Boss,8.0,“ It was a very enjoyable stay. ”,Hotel room does not have more space Breakfast was very tasty and made according to the need of individual. Stayed in June 2022
504,Hotel Boss,7.0,“ just fine stay ”,hospitality is bad Stayed in July 2022
505,Hotel Boss,8.0,Very Good,Breakfast not included Stayed in July 2022
506,Hotel Boss,8.0,“ Value for money deal ”,The room size was pretty small. It was surely value for money deal and the best part was the location. Everything was within 4-5 metro blocks. The Hotel staff was quite polite and helpful and kids enjoyed their time at the swimming pool. Stayed in July 2022
507,Hotel Boss,7.0,Good,"Walls are so thin, there's persistent sound of closing doors every few minutes and the sound of people chatting and laughing in nearby rooms make it extremely hard to get a restful sleep. The room is smaller than anticipated. Members of the staff are very polite snd accomodating. Stayed in July 2022"
508,Hotel Boss,6.0,Pleasant,"The room is very small and smelly
The wifi is quiet unstable
No daily housekeeping Location Stayed in July 2022"
509,Hotel Boss,7.0,Good,no window so its not well ventilated. the location Stayed in July 2022
510,Hotel Boss,8.0,Very Good,The hotel is an excellent location which is close to the MTR. The pool is surrounded by  beautiful gardens. Stayed in July 2022
511,Hotel Boss,6.0,"“ Great value for money, convenient location. ”","Room had overpowering smell of cigarette smoke from the bathroom, shower head kept falling off onto floor. Shower size is tiny, so much so, shower head can only face opposing wall, hitting the wall about 6ft high (water doesnt reach you at all) Change of rooms was prompt and dealth with immediately. Stayed in July 2022"
512,Hotel Boss,8.0,“ Need tourist guides at your hotel ”,The transportation n tourist tour Environment Stayed in July 2022
513,Hotel Boss,7.0,,This review is hidden because it doesn't meet our guidelines.
514,Hotel Boss,6.0,“ I won't be staying there again when for the same price there are better hotels. ”,"Bed too short, if you are 6ft and over your feet will poke out the end.I was alone but i imagine if you are staying as two people it will be very crammed. No space to hang clothes or put suitcase out the way.No hairdryer.No Iron or board (although i never needed it at the time) No proper toilet paper, instead little flimsy napkin type thing.AC system difficult to set right, can not control power only temperature.Hotel staff like most of singapore still scared of covid and feel the need to remind you to wear a mask. Weak. Nice lobby and location is okay depending on where you want to get too. Dedicated room wifi which was good and fast. Stayed in July 2022"
515,Hotel Boss,6.0,“ Conveniently located hotel worth its price ”,"Floors in room weren’t cleaned, felt sticky (hotel didn’t provide slippers). Window couldn’t be opened and only faced another building, no real view. Room was cramped, not much space to open suitcases. Extremely convenient location with Lavender MRT (and bus) just nearby, helpful luggage storage service that store it until midnight of the day you check out. Room service and staff are efficient. Linen was all clean. Hotel is easy to find, plenty of food choices nearby. Stayed in July 2022"
516,Hotel Boss,7.0,Good,Quite small room Gym and pool Stayed in July 2022
517,Hotel Boss,7.0,Good,Very noisy lobby.n the pick up point very stuffy. Stayed in June 2022
518,Hotel Boss,8.0,“ Not bad. ”,"Room is too small, considering it’s price. Staff is good. Stayed in July 2022"
519,Hotel Boss,7.0,“ Great transit hotel ”,Breakfast was not worth it. Food not the best quality. Better choices nearby so don't waste your time and money. Rooms are small which is ok for a few days but longer would be too much Location great and very clean and in reasonable condition. Very quiet and dark rooms which was great. Staff were efficient. Stayed in July 2022
520,Royal Plaza on Scotts,6.0,“ Ok ”,Cost for what we had Room Stayed in January 2020
521,Royal Plaza on Scotts,10,“ Excellent ”,"Bed was really comfy. The pillow isn't too hard but neither is it too soft, provided a just enough height for my neck. Despite getting the toilet floor wet easily it dried off just as quick. Stayed in January 2020"
